S100A12,homo sapiens,ENSG00000163221,,
S100A8,homo sapiens,ENSG00000143546,,
S100A9,homo sapiens,ENSG00000163220,,
LYZ,homo sapiens,ENSG00000090382,,
CST3,homo sapiens,ENSG00000101439,,
FCN1,homo sapiens,ENSG00000085265,,
FCGR3A,homo sapiens,ENSG00000203747,CD16,
CD14,homo sapiens,ENSG00000170458,,
FTL,homo sapiens,ENSG00000087086,,
TYROBP,homo sapiens,ENSG00000011600,,
